text,label
Nani to appear in anti-fake news awareness campaign,REAL
Netflix to fund 3 AP short films for regional storytelling,REAL
New AI teacher robot named “Chitti Sir” starts trial in AP,FAKE
New policy: One pizza per assignment submission in AP,FAKE
New rule says students can pass exams without writing internals,FAKE
New rule: Students must wear capes like superheroes on Fridays,FAKE
New science museum opens in Guntur for public,REAL
New subject 'Memes and Communication' added to TS curriculum,FAKE
NIT-Warangal ranked among top 10 engineering colleges,REAL
Ram Charan announces new sci-fi film with AR/VR features,REAL
Rashmika Mandanna to lead youth mental health campaign in AP,REAL
Reels Fest 2025 to be held at Lingayas campus auditorium,REAL
Reels influencers to get digital training at TS Startup Hub,REAL
Reels under 7 seconds to get boosted in AP college WiFi,FAKE
Reels with over 10k views to get graded as practical exams,FAKE
RRR sequel to cast Mahesh Babu as AI robot,FAKE
RRR wins “Best Tech in Film” award globally,REAL
RTC announces special buses for Sankranti festival from Hyderabad to district headquarters,REAL
Skill development centers to open in every district of AP,REAL
Students scoring 100% to get free trip to Maldives,FAKE
Students to get ‘study leaves’ in Goa under new policy,FAKE
Students to get free Flipkart vouchers for good handwriting,FAKE
Students to review films for college credit in AP media studies,REAL
Students to submit attendance through voice recognition selfies,FAKE
Students who cross 1M views on reels get state award,FAKE
Students will get attendance automatically updated without attending classes,FAKE
Students with 10K+ likes on reels exempted from exams,FAKE
Telangana government launches skill development program for final year students,REAL
"Telangana introduces ""No Backpack Fridays""",FAKE
Telangana launches free Wi-Fi zones across Hyderabad,REAL
T-Hub partners with Meta for AI content workshops,REAL
Tollywood announces 50% student discounts for morning shows,REAL
Tollywood announces first 3D hologram actor by 2027,FAKE
Tomorrow colleges closed because server issue in education department,FAKE
Tomorrow is holiday because minister birthday celebration across the state,FAKE
TS CM announces 5-day week for college students,FAKE
TS colleges get AI-powered drone training for media students,REAL
TS Education Board to introduce “Meme Studies” subject,FAKE
TS govt adds creative influencer cell to Youth Ministry,REAL
TS govt declares Sunday as “Selfie Day” in public parks,FAKE
TS govt introduces “Biryani Grading System” in hostels,FAKE
TS govt introduces coding syllabus in govt high schools,REAL
TS govt introduces flying autos for rural transport,FAKE
TS govt invites influencers to design public health campaigns,REAL
TS govt partners with YouTube to promote regional creators,REAL
TS Govt to install AI lie detector at college entrances,FAKE
TS govt to provide 100% fee reimbursement for girl students,REAL
TS govt to replace teachers with AI robots in 2026,FAKE
TS Inter Board adopts digital evaluation system,REAL
TS introduces AI learning kits in 300 govt schools,REAL
"TS launches ""Influencer ID Card"" for creators with 1K+ followers",FAKE
TS launches “Night Classes with Netflix” program,FAKE
TS Sports Council launches AI-based fitness app,REAL
TS students to vote on syllabus using online polls,FAKE
TS teachers to be replaced by ChatGPT 5.0 in pilot schools,FAKE
TS to launch university on the moon by 2030,FAKE
TS-EAMCET results to be announced on July 12,REAL
TSRTC increases bus frequency for weekend travel after student demand,REAL
University announces online classes for first year students due to maintenance work,REAL
University issues circular about lab external examination schedule,REAL
University of Hyderabad launches reel-based learning initiative,REAL
Vijay Deverakonda’s startup supports student filmmakers,REAL
Virat Kohli inaugurates cricket talent academy in Warangal,REAL
Visakhapatnam airport to start international operations,REAL
Visakhapatnam cricket stadium gets world-class upgrade,REAL
Vizag beaches to get underwater WiFi hotspots,FAKE
Vizag to become the new IT capital of Andhra Pradesh,REAL
Warangal gets its first 24x7 digital library,REAL
WhatsApp forward says students will get 10 marks grace automatically this semester,FAKE
